"fld_sid","fld_fname","fld_email","fld_activationcode","fld_pswd","fld_phone","fld_mobile","fld_city","fld_level0","fld_category","fld_level1","fld_subcategory","fld_brandname","fld_brand","fld_bstype","fld_description","fld_estyear","fld_address","fld_pincode","fld_slogo","fld_swebsite","fld_b99status","fld_delstatus","fld_userstatus"
"1","Badusha steels","vcare@badhushasteels.com",,"vcare","2580196- 5390296",,"Madurai","civil","5","Cement","1","Ramco","138","Dealers","Badhusha steels deal with cement products.Authorised dealer for Ramco cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
"2","Badusha steels","vcare@badhushasteels.com",,,"2580196- 5390296",,"Madurai","civil","5","Cement","1","Chettinad Cements","29","Dealers","Badhusha steels deal with cement products.Authorised dealer for Chettinad cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
"3","Badusha steels","vcare@badhushasteels.com",,,"2580196- 5390296",,"Madurai","civil","5","Cement","1","Ultra Tech Cements","175","Dealers","Badhusha steels deal with cement products.Authorised dealer for Chettinad cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
"4","Badusha steels","vcare@badhushasteels.com",,,"2580196- 5390296",,"Madurai","civil","5","Cement","1","Acc Cements","1","Dealers","Badhusha steels deal with cement products.Authorised dealer for Chettinad cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
"5","Badusha steels","vcare@badhushasteels.com",,,"2580196- 5390296",,"Madurai","civil","5","Cement","1","Ambuja Cements","6","Dealers","Badhusha steels deal with cement products.Authorised dealer for Chettinad cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
"6","Badusha steels","vcare@badhushasteels.com",,,"2580196- 5390296",,"Madurai","civil","5","Cement","1","Dalmia Cement","34","Dealers","Badhusha steels deal with cement products.Authorised dealer for Chettinad cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
"7","Badusha steels","vcare@badhushasteels.com",,,"2580196- 5390296",,"Madurai","civil","5","Cement","1","Jaypee Cements","84","Dealers","Badhusha steels deal with cement products.Authorised dealer for Chettinad cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
"8","Badusha steels","vcare@badhushasteels.com",,,"2580196- 5390296",,"Madurai","civil","5","Cement","1","jk ","86","Dealers","Badhusha steels deal with cement products.Authorised dealer for Chettinad cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
"9","Badusha steels","vcare@badhushasteels.com",,,"2580196- 5390296",,"Madurai","civil","5","Cement","1","Prism Cement","134","Dealers","Badhusha steels deal with cement products.Authorised dealer for Chettinad cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
"10","Badusha steels","vcare@badhushasteels.com",,,"2580196- 5390296",,"Madurai","civil","5","Cement","1","Ramco","138","Dealers","Badhusha steels deal with cement products.Authorised dealer for Chettinad cements.","1975","Door No: 9 K.K. NAGAR MAIN ROAD 
(OPP. WAKF BOARD COLLEGE)
MADURAI - 625 020.
INDIA.","625020","Badhusha-Steels.jpg","WWW.BADHUSHASTEELS.COM","0","0","1"
